website,domain,phones,addresses,status,retries,facebook_links,instagram_links,youtube_links,twitter_links,linkedin_links,error,company_commercial_name,company_legal_name,company_all_available_names
http://horizons.church,horizons.church,"['4025125700', '470808100']",[],success,0,"['facebook.com/tr', 'facebook.com/groups', 'facebook.com/HorizonsCommunityChurch']",['instagram.com/horizons_community_church'],[],[],[],,Horizons,,Horizons | Horizons Community Church | Horizons Church | Horizons Church Lincoln NE
http://steppir.com,steppir.com,[],[],success,0,[],[],[],[],[],,SteppIR Communication Systems,SteppIR Inc.,SteppIR Communication Systems | SteppIR | SteppIR Inc.
http://yourhairdynasty.com,yourhairdynasty.com,[],[],success,0,['facebook.com/yourhairdynasty'],['instagram.com/yourhairdynasty'],[],['twitter.com/yourhairdynasty'],[],,Your Hair Dynasty,Your Hair Dynasty LLC.,Your Hair Dynasty | Your Hair Dynasty LLC. | Your Hair
http://buchanan-edwards.online,buchanan-edwards.online,[],[],success,0,[],[],[],[],[],,Buchanan-edwards.online,,Buchanan-edwards.online
http://oceancurrent.com,oceancurrent.com,"['41753452904630', '42111333105846', '41719750131894', '42111291064502', '41764048732342', '41719758520502', '41697411203254', '41869736476854', '42083861332150', '42214348456118', '41719668441270', '39810175467702', '42083851305142', '41596074623158', '42083778035894', '42214348554422', '42214257983670', '41719745380534', '39810174615734', '41869736444086', '41719610835126', '39810176680118', '41764051878070', '42083777937590', '41588821000374', '41808298475702', '41808298442934', '41697411137718', '39810176581814', '42214266863798', '41719668474038', '41763986702518', '41697908588726', '39810176385206', '42083787309238', '42111291097270', '39810174550198', '42083523231926', '39810173534390', '42083861397686', '41719670931638', '39810174451894', '39810173403318', '39810174025910', '39810175434934', '41697406779574', '39810173468854', '41719745478838', '42085727994038', '42083777970358', '42085728026806', '39810176417974', '39810173632694', '39810174124214', '39810173567158', '42214258016438', '41719610867894', '41719670964406', '41753452773558', '41588990967990', '42214258049206', '41719750099126', '42085728059574', '42214319358134', '41808267182262', '41697413464246', '39810175500470', '41588991000758', '42083787342006', '42083638935734', '39810174058678', '42214258081974', '41764048797878', '41808308175030', '41763974971574', '42085728092342', '42083523264694', '42083523330230', '41808282484918', '41808267215030', '41763974906038', '41697406746806', '41596074655926', '41709993164982', '39810176647350', '42083523297462', '41697411236022', '41697406714038', '42214319390902', '42214319423670', '42111333204150', '41764051943606', '41808298508470', '39810173370550', '41719668408502', '42083638902966', '42214348488886', '41719668375734', '41808282419382', '42083851403446', '42083778003126', '42214266896566', '41697413497014', '39810175533238', '41719750066358', '41808282452150', '41764048830646', '39810174091446', '41753452806326', '39810176319670', '41719670997174', '41588821033142', '41697908555958', '42083638870198', '42083861430454', '42083851370678', '41719671029942', '41719758422198', '41596074590390', '42111333138614', '41764051845302', '41763986735286', '42083787276470', '39810176352438', '41808308142262', '41709993263286', '41869736411318', '41808267116726', '42214266929334', '42083861364918', '41588820967606', '41697413562550', '42083787374774', '42083851337910', '41588821065910', '42214348521654', '41764048765110', '41719610900662', '39810174386358', '42111333171382', '41719610933430', '41697411170486', '42214266962102', '41709993197750', '41596074557622', '41719758454966', '41697406812342', '41588991033526', '41588990935222', '41719750164662', '41697908621494', '41763974873270', '41753452871862', '41869736509622', '41719758487734', '41719745413302', '41697413529782', '41808267149494', '39810174517430', '42083638837430', '39810176614582', '39810173436086', '41808308240566', '42214319325366', '42111291162806', '41764051910838', '41753452839094', '41697908523190', '39810174582966', '39810174419126', '39810173599926', '41719745446070', '41808308207798', '41763986669750', '41763974938806', '39810174353590', '42111291130038', '41709993230518', '41763986636982', '41808298541238', '41808282517686']",[],success,0,['facebook.com/oceancurrent'],['instagram.com/oceancurrent'],[],[],[],,Ocean Current,,Ocean Current
http://deepdivecounseling.net,deepdivecounseling.net,[],[],success,0,"['facebook.com/squarespace', 'facebook.com/2008']",['instagram.com/squarespace'],[],[],[],,Deep Dive Counseling LLC.,Deep Dive Counseling LLC.,Deep Dive Counseling LLC. | Deep Dive Counseling
http://clockinc.org,clockinc.org,['3095580956'],[],success,0,"['facebook.com/designs.chasing', 'facebook.com/clock.inc.qc']",['instagram.com/clockinclgbt'],[],['twitter.com/clockincLGBT'],['linkedin.com/in/clockinc'],,Clock Inc.,Clock Inc.,Clock Inc. | Free Clock Inc.
http://highwayonerealestate.com,highwayonerealestate.com,"['01008171', '8052352565']","['148  North Ocean Ave Cayucos, CA 93430']",success,0,['facebook.com/highway-one-realty-218737271556777'],[],[],[],['linkedin.com/in/nadine-lilley-50146633'],,Highway One Real Estate,,Highway One Real Estate
http://cincyscrubs.com,cincyscrubs.com,['5139396007'],"['4934 Provident Dr West Chester, OH\xa045246']",success,0,['facebook.com/cincyscrubs'],[],[],[],[],,Cincy Scrubs,,Cincy Scrubs
http://1laurellane.com,1laurellane.com,[],[],success,0,[],[],[],[],[],,1 Laurel Lane,,1 Laurel Lane
